Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Personal;Nombre corto del Préstamo Personal;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;12/6/2026;PRESTAMOPERSONAL;PP;Pesos;24800000;500;72;310000;0;80;30;Todos los beneficiarios;4;283;Fija;398;1442;Todo el territorio nacional;
7;BANCO DE GALICIA Y BUENOS AIRES S.A.;12/6/2026;PRESTAMOPERSONALUVA;PPUVA;UVA;2000000;500;24;310000;0;80;30;Todos los beneficiarios;4;30;Fija;37;956;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;MAS AUTOS CON BNA;MAS AUTOS;Pesos;100000000;1000000;72;145327;0;100;30;Todos los beneficiarios;4;57,5;Fija;72,3;509;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION PERSONALES LIBRE DESTINO TRAMO IV;NACION LIBRE DESTINO;Pesos;50000000;100000;72;363922;12;100;30;Clientes con cuenta en la entidad;4;140,4;Fija;186,76;922;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;ADELANTO DE HABERES;ADELANTO DE HABERES;Pesos;500000;50000;1;373918;1;100;50;Clientes que acrediten sueldos en la entidad;0;140,51;Fija;186,76;10918;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION SUELDOS TRAMO III;NACION SUELDOS;Pesos;100000000;100000;72;363583;3;74;35;Clientes que acrediten sueldos en la entidad;4;72,86;Fija;93,32;583;Todo el territorio nacional;
11;BANCO DE LA NACION ARGENTINA;15/5/2026;NACION PREVISIONAL;NACION PREVISIONAL;Pesos;50000000;100000;72;16654;0;88;35;Clientes que acrediten sueldos en la entidad;4;72,92;Fija;93,32;677;Todo el territorio nacional;
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35;Clientes que acrediten sueldos en la entidad;4;28,07;Fija;28,07;5337;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL UVA;UVA;Pesos;50000000;100000;24;1300;3;100;35;Clientes que acrediten sueldos en la entidad;4;28,07;Fija;28,07;5337;Provincia de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;50000000;100000;36;1300;12;100;30;Personas humanas en relación de dependencia;4;178,19;Fija;178,19;10220;Ciudad Autónoma de Buenos Aires;0
14;BANCO DE LA PROVINCIA DE BUENOS AIRES;11/5/2026;PRESTAMO PERSONAL PROVINCIA;PRESTAMO PERSONAL;Pesos;50000000;100000;36;1300;12;100;30;Personas humanas en relación de dependencia;4;178,19;Fija;178,19;10220;Provincia de Buenos Aires;0
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.;Pesos;145000000;20000;96;1250000;0;79;30;Todos los beneficiarios;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7:ACREDITA HABERES PARA CABA, GBA Y PATAGONIA. CAMPO 16:96 MESES                           TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1250000;0;79;30;Todos los beneficiarios;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                      TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1000000;0;79;30;Clientes con cuenta en la entidad;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;26000000;20000;96;1400000;12;79;30;Todos los beneficiarios;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES                       TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;;12;79;30;Clientes con cuenta en la entidad;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                   INGRESO MINIMO: N A
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;;12;79;30;Clientes con cuenta en la entidad;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES                       INGRESO MINIMO: N A
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;26000000;20000;96;1400000;12;79;30;Todos los beneficiarios;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: NO ACREDITA HABERES PARA INTERIOR, CAMPO 16: 96 MESES                                   TODOS LOS BENEFICIARIOS SE REFIERE A CLIENTES NUEVOS  EN REL DE DEPEND, MONOTRIBUTISTAS, RESP INSCRIPTOS Y EMP PUBLICOS
15;INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.;10/3/2026;PRESTAMO PERSONAL PESOS CARTERA GENERAL TASA FIJA;PP $ C.GRAL T.F;Pesos;145000000;20000;96;1000000;0;79;30;Clientes con cuenta en la entidad;3;147,19;Fija;196,44;94840;Todo el territorio nacional;CAMPO 1: POR SUCURSAL, CAMPO 7: ACREDITA HABERES PARA CABA GBA Y PATAGONIA, CAMPO 16: 96 MESES
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;3;74;30;Clientes que acrediten sueldos en la entidad;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;24;74;30;Personas humanas Responsables Inscriptos;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;24;74;30;Personas humanas Monotributistas;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30;Personas humanas en relación de dependencia;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30;Beneficiarios de cuentas de la seguridad social;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30;Clientes con cuenta en la entidad;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
17;BANCO BBVA ARGENTINA S.A.;18/5/2026;PRESTAMOS PERSONAL;PRESTAMO PERSONAL;Pesos;70000000;1000;72;272000;12;74;30;Empleados públicos;4;240,51;Fija;322,99;1311;Todo el territorio nacional;SI TRANSCURRIERON AL MENOS DESDE SU OTORGAMIENTO 180 DIAS O PORC DEL PLAZO TOTAL ORIGINAL DE AMBAS CONDICIONES LA MAYOR SIN CARGO
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;6;81;30;Empleados públicos;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30;Personas humanas Monotributistas;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;3;81;30;Clientes que acrediten sueldos en la entidad;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30;Clientes con cuenta en la entidad;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;715600;12;81;30;Personas humanas Responsables Inscriptos;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;6;81;30;Personas humanas en relación de dependencia;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
20;BANCO DE LA PROVINCIA DE CORDOBA S.A.;11/6/2026;PRESTAMO PERSONAL  MULTIDESTINO;PP MULTIDESTINO;Pesos;138720000;1000;72;357800;0;81;30;Beneficiarios de cuentas de la seguridad social;0;58,59;Fija;74,34;50169;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de Córdoba;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de Santa Fe;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de San Juan;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Responsables Inscriptos;4;243,88;Fija;338,99;139530;Ciudad Autónoma de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de Tucumán;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;280000;0;0;30;Clientes que acrediten sueldos en la entidad;4;293,5;Fija;414,99;152771;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;6;0;30;Clientes con cuenta en la entidad;4;243,88;Fija;338,99;139530;Provincia de Mendoza;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas en relación de dependencia;4;243,88;Fija;338,99;139530;Provincia de Buenos Aires;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;10000;72;380000;12;0;30;Personas humanas Monotributistas;4;243,88;Fija;338,99;139530;Provincia de San Luis;
27;BANCO SUPERVIELLE S.A.;19/6/2026;PRESTAMOS PERSONALES;PP;Pesos;75000000;6000;60;101000;6;0;50;Beneficiarios de cuentas de la seguridad social;4;133,88;Fija;177,53;104168;Ciudad Autónoma de Buenos Aires;
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Provincia de Córdoba;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Provincia de Buenos Aires;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Provincia de Córdoba;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Provincia de Mendoza;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Ciudad Autónoma de Buenos Aires;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Provincia de Salta;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Provincia de Salta;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Provincia de Buenos Aires;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;18;64;40;Empleados públicos;4,84;97,46;Fija;126,7;726;Provincia de Tucumán;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Ciudad Autónoma de Buenos Aires;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Provincia de Mendoza;NO APLICA
29;BANCO DE LA CIUDAD DE BUENOS AIRES;24/6/2026;CIUDAD VELOZ PLAN SUELDO;CIUDAD VELOZ PLAN SUELDO;Pesos;40000000;1;72;735600;3;64;40;Clientes que acrediten sueldos en la entidad;4,84;97,46;Fija;126,7;726;Provincia de Tucumán;NO APLICA
34;BANCO PATAGONIA S.A.;26/3/2026;PRESTAMO PERSONAL PATAGONIA SIMPLE;PP PLUS;Pesos;30000000;10000;60;400000;0;84;50;Todos los beneficiarios;4;129,55;Fija;171,24;853;Todo el territorio nacional;DE ACUERDO A LA JURISDICCION DE RADICACION DE LA CUENTA ES SUSCEPTIBLE DE SER ALCANZADO POR IMPUESTOS PROVINCIALES. LOS INGRESOS MINIMOS CORRESPONDEN A INGRESOS NETOS MENSUALES PARA LA LINEA PATAGONIA PLUS.
